facility_name,responsible_emitter,state,industry,erc_fy2024_25,baseline_t,covered_emissions_t,commodity_group
Gove Operations,RTA GOVE PTY LIMITED,NT,Basic non-ferrous metal manufacturing (213),0.902,108964,135550,bauxite
Granny Smith Mine Site,GSM MINING COMPANY PTY LTD,WA,Metal ore mining (080),0.902,106554,123215,gold
Greenbushes Lithium Operation,Talison Lithium Australia Pty Ltd,WA,Metal ore mining (080),0.902,100000,127780,lithium
Gruyere Mine Site,Gruyere Mining Company Pty Ltd,WA,Metal ore mining (080),0.902,190697,267882,gold
Hail Creek Mine,HAIL CREEK COAL PTY LTD,QLD,Coal mining (060),0.902,1237293,987836,coal
Hope Downs 1 Mine,Hamersley HMS Pty Ltd,WA,Metal ore mining (080),0.902,100000,161539,iron_ore
Hope Downs 4 Mine,Hamersley HMS Pty Ltd,WA,Metal ore mining (080),0.902,100000,143256,iron_ore
Hunter Valley Operations mine,HV OPERATIONS PTY LTD,NSW,Coal mining (060),0.902,630086,670583,coal
HVY01 Hunter Valley Energy Coal - CCL Facility,Hunter Valley Energy Coal Pty Ltd,NSW,Coal mining (060),0.902,538040,548294,coal
InfraBuild Steel - Laverton Steel Mill,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,VIC,Basic ferrous metal manufacturing (211),0.902,105155,111329,steel
Integra Underground Mine,HV Coking Coal Pty Limited,NSW,Coal mining (060),0.902,100000,153496,coal
